Masked Gen ID,Min Run Time,Min Down Time,Max Stops per Day,Start Up Notification,Start Up bid Time 1,Start Up bid Time 2,Start Up bid Time 3,Start Up bid Time 4,Start Up bid Time 5,Start Up bid Time 6,Start Up bid Cost 1,Start Up bid Cost 2,Start Up bid Cost 3,Start Up bid Cost 4,Start Up bid Cost 5,Start Up bid Cost 6,Notification Hours To Start 1,Notification Hours To Start 2,Notification Hours To Start 3,Notification Hours To Start 4,Notification Hours To Start 5,Notification Hours To Start 6,Notification Hours Off line 1,Notification Hours Off line 2,Notification Hours Off line 3,Notification Hours Off line 4,Notification Hours Off line 5,Notification Hours Off line 6,Masked Bidder ID
74826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
54826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
94826180,    1.00,    1.00,    8,     .00,     .00,    1.00, , , , ,        .00,     350.00, , , , , , , , , , , , , , , , , 
23842750,   24.00,     .50,    5,     .50,     .00, , , , , ,        .00, , , , , ,     .50, , , , , ,  999.00, , , , , , 
13014750,     .00,     .00,   10,     .00,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
76287750,    3.00,    3.00,    2,     .50,    1.00, , , , , ,     800.00, , , , , ,     .00, , , , , ,    1.00, , , , , , 
47636180,   10.00,     .00,    1,    4.00,    1.00, , , , , ,    6000.00, , , , , ,    1.00,    2.00, , , , ,   24.00,   25.00, , , , , 
12082750,    1.00,    1.00,    1,     .50,     .00, , , , , ,        .00, , , , , ,     .50, , , , , ,  999.00, , , , , , 
17123750,     .00,     .00,   10,     .00,    1.00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
80877750,    1.00,     .50,   10,    1.00,     .50, , , , , ,     250.00, , , , , ,     .08, , , , , ,    1.00, , , , , , 
70877750,    1.00,     .50,   10,    1.00,     .50, , , , , ,     250.00, , , , , ,     .08, , , , , ,    1.00, , , , , , 
60877750,    1.00,     .50,   10,    1.00,     .50, , , , , ,     250.00, , , , , ,     .08, , , , , ,    1.00, , , , , , 
98347750,   14.00,    8.00,    1,    2.00,   24.00,   48.00,   72.00, , , ,   11800.00,   33300.00,   46500.00, , , , , , , , , , , , , , , , 
28122750,   12.00,    6.00,    1,    6.00,    3.00, , , , , ,    2141.00, , , , , ,    3.00, , , , , ,    3.00, , , , , , 
38347750,   14.00,    8.00,    1,    2.00,    8.00,   32.00,   56.00, , , ,   11385.00,   20240.00,   45540.00, , , , , , , , , , , , , , , , 
28347750,   14.00,    8.00,    1,   12.00,   24.00,   48.00,   72.00, , , ,   11800.00,   33300.00,   46500.00, , , , , , , , , , , , , , , , 23811750
7796180,    1.00,    1.00,    1,    2.00,    1.00,  100.00, , , , ,        .01,        .02, , , , ,    2.00,    3.00, , , , ,    3.00,  168.00, , , , , 
14893750,    1.00,    1.00,    1,    1.00,    1.00, , , , , ,        .01, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
70501750,    1.00,    1.00,    9,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
67537750,    8.00,    6.00,    1,    4.00,    4.00,   72.00, , , , ,    1137.50,    1138.50, , , , , , , , , , , , , , , , , 
75537750,    8.00,    6.00,    1,    4.00,    4.00,   72.00, , , , ,    1137.50,    1138.50, , , , , , , , , , , , , , , , , 
55537750,    8.00,    6.00,    1,    4.00,    4.00,   72.00, , , , ,    1137.50,    1138.50, , , , , , , , , , , , , , , , , 
35537750,    8.00,    6.00,    1,    4.00,    4.00,   72.00, , , , ,    1137.50,    1138.50, , , , , , , , , , , , , , , , , 
27057750,     .00,     .00,   13,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
877750,    1.00,     .50,   10,    1.00,     .50, , , , , ,     250.00, , , , , ,     .08, , , , , ,    1.00, , , , , , 
30636180,    1.00,    8.00,    1,     .00,    1.00, , , , , ,    3000.00, , , , , , , , , , , , , , , , , , 
50636180,    1.00,    8.00,    1,     .00,    1.00, , , , , ,    3000.00, , , , , , , , , , , , , , , , , , 
17435750,   16.00,   10.00,    1,    3.00,    6.00,   12.00,   24.00,   36.00,   72.00, ,    6000.00,    9000.00,    9600.00,   10500.00,   10500.00, ,    3.00,    3.25,    3.50,    3.75,    4.00, ,    8.00,   12.00,   24.00,   36.00,   72.00, , 
7435750,   16.00,   10.00,    1,    3.00,    6.00,   12.00,   24.00,   36.00,   72.00, ,    6000.00,    9000.00,    9600.00,   10500.00,   10500.00, ,    3.00,    3.25,    3.50,    3.75,    4.00, ,    8.00,   12.00,   24.00,   36.00,   72.00, , 
17272750,   16.00,   10.00,    1,    2.00,    6.00,   12.00,   24.00,   36.00,   72.00, ,    6000.00,    9000.00,    9600.00,   10500.00,   10500.00, ,    3.00,    3.25,    3.50,    3.75,    4.00, ,    8.00,   12.00,   24.00,   36.00,   72.00, , 
7272750,   16.00,   10.00,    1,    2.00,    6.00,   12.00,   24.00,   36.00,   72.00, ,    6000.00,    9000.00,    9600.00,   10500.00,   10500.00, ,    3.00,    3.25,    3.50,    3.75,    4.00, ,    8.00,   12.00,   24.00,   36.00,   72.00, , 
49636180,    8.00,    4.00,    1,    4.00,    4.00, , , , , ,    5000.00, , , , , ,    4.00,    4.50,    5.00, , , ,    4.00,   12.00,   24.00, , , , 
39128750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
3128750,    1.00,    1.00,    2,     .17,     .00, , , , , ,        .00, , , , , , , , , , , , , , , , , , 
19373750,   24.00,   12.00,    1,    6.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
70318750,    1.00,    1.00,    9,    1.00,    1.00, , , , , ,        .00, , , , , ,    1.00, , , , , ,    1.00, , , , , , 
7707750,    1.00,    1.00,    4,     .00,  999.00, , , , , ,     520.00, , , , , , , , , , , , , , , , , , 
32118750,     .00,     .00,  999,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
78636180,    6.00,    3.00,    1,    6.00,    1.00, , , , , ,    8135.26, , , , , ,    6.00,    7.00,    8.00, , , ,    6.00,   12.00,   24.00, , , , 
53017750,    6.00,    4.00,    2,    1.50,     .00, , , , , ,       1.00, , , , , ,     .50,    1.00,    1.50,    2.00,    3.00,    4.00,     .00,    1.00,    2.00,    4.00,    8.00,   24.00, 
69507750,    5.00,    6.00,    2,    6.00,     .00, , , , , ,       1.00, , , , , ,     .50,    1.00,    1.50,    2.00,    7.00,   16.00,     .00,    1.00,    2.00,    4.00,    8.00,   24.00, 
1525750,    3.00,    1.00,    2,    3.00,     .00, , , , , ,       1.00, , , , , ,     .50,    1.00,    1.50,    2.00,    3.00,    3.25,     .00,    1.00,    2.00,    4.00,    8.00,   24.00, 
33017750,    6.00,    4.00,    2,    1.50,     .00, , , , , ,       1.00, , , , , ,     .50,    1.00,    1.50,    2.00,    3.00,    4.00,     .00,    1.00,    2.00,    4.00,    8.00,   24.00, 
19657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
13128750,    4.00,    2.00,    2,    4.00,    4.00,    8.00, , , , ,        .00,     100.00, , , , ,    1.00,    2.00, , , , ,    4.00,    8.00, , , , , 
69636180,   12.00,    8.00,    1,   12.00,    2.00,   12.00,   24.00, , , ,        .00,        .00,        .00, , , , , , , , , , , , , , , , 
56636180,   14.00,   12.00,    1,   20.00,    1.00,    8.00,   25.00, , , ,   12500.00,   15000.00,   17500.00, , , , , , , , , , , , , , , , 
46636180,   14.00,   12.00,    1,   20.00,    1.00,   25.00, , , , ,   13000.00,   20000.00, , , , , , , , , , , , , , , , , 
836180,   24.00,   48.00,    1,   48.00,   48.00, , , , , ,       1.00, , , , , , , , , , , , , , , , , , 
53587750,    8.00,    8.00,    1,   16.50,   24.00,   48.00, , , , ,   40000.00,   48000.00, , , , ,    5.50,    8.50,   16.50, , , ,    5.50,   27.00,   28.00, , , , 
14636180,     .00,     .00,   13,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
82036180,   16.00,    8.00,    1,    1.00,    6.00,   12.00,   24.00,   36.00,   72.00, ,    4500.00,    5400.00,    5700.00,    6000.00,    6000.00, ,    2.00,    3.00,    3.25,    3.50,    4.00, ,    8.00,   12.00,   24.00,   36.00,   72.00, , 
16065750,     .00,     .00,   13,     .00,     .00, , , , , ,        .00, , , , , ,     .00, , , , , ,     .00, , , , , , 
33636180,   16.00,    7.00,    2,    1.00,    3.00,   48.00, , , , ,        .00,        .00, , , , ,    1.00,    2.00,    3.00, , , ,    2.00,   12.00,   48.00, , , , 
17728750,    6.00,    6.00,    1,    5.00,    1.00,    8.00,   25.00, , , ,   10000.00,   20000.00,   30000.00, , , ,    1.00,    2.00,   12.00, , , ,    8.00,   24.00,   25.00, , , , 
7728750,    6.00,    6.00,    1,    5.00,    1.00,    8.00,   25.00, , , ,   10000.00,   20000.00,   30000.00, , , ,    1.00,    2.00,   12.00, , , ,    8.00,   24.00,   25.00, , , , 
26319750,    6.00,    6.00,    1,    3.00,     .00,   24.00,   72.00, , , ,    4200.00,    7000.00,   10500.00, , , ,    2.00,    4.00,    6.00, , , ,     .00,   24.00,   72.00, , , , 
3657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
43657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
79657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
83657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
13657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
59657750,    4.00,    4.00,    2,     .50,    1.50, , , , , ,     180.00, , , , , ,     .50, , , , , ,    1.00, , , , , , 
